,vinculo,inep,cep,distrito,bairro,logradouro,numero,complemento,fone,email,cel1,cel2,sigla,possui_internet_escola,tipo_internet_escola,status_escola,possui_lab,possui_analista,tipo_sala,pregao1,pregao2,pregao3,pregao4,possui_internet_lab,tipo_internet_lab,lab_montado,qt_computadores_lab,qt_monitores_lab,qt_projetores,qt_tablets,status_lab,ar_condicionado_lab,impressora_lab,qt_notebook_lab,roteador_lab,switch_lab,qt_cadeiras_lab,162,pessoa_id,user_id,created_at,updated_at
,Liberado,29024935,48.900-010,ITAMOTINGA,Maniçoba,"AV. DO COLONO, NH1",,,(74) 3617-8342,doisdejulhojuazeiro@hotmail.com,(74) 98844-0798,,EM02J,SIM,VELOX,ATIVO,SIM,NÃO,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,7,17,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,15,21,1,12,,
,Liberado,29024994,48.902-000,ITAMOTINGA,Maniçoba,PROJETO MANIÇOBA NH II,,,(74) 3611-3278,quinzedejulho@gmail.com,,,EM15J,SIM,OUTRO,ATIVO,SIM,NÃO,SALA PRÓPRIA,69.2008,,,,SIM,VELOX,SIM,6,15,,,INATIVO,SIM,SIM,,SIM,NÃO POSSUI,15,22,1,12,,
,Liberado,29026130,48.900-991,ITAMOTINGA,ITAMOTINGA,ITAMOTINGA,,,(74) 3613-9130,escola25.dejulho@outlook.com,(74) 98819-1565,,EM25J,SIM,OUTRO,ATIVO,SIM,NÃO,SALA PRÓPRIA,38.2006,,,,SIM,VELOX,SIM,7,17,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,17,23,1,12,,
,Liberado,29026601,48.910-000,JUNCO,Goiabeira I Salitre,GOIABEIRA I SALITRE,,,(74) 3617-5151,não possui,(74) 99925-7220,(74) 98811-1198,EMATJ,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA DE AULA,68.2009,,,,,,,0,0,,,,,,,,,0,24,1,12,,
,Liberado,29025699,48.912-000,ABÓBORA,Centro,RUA BERTOLINO EVANGELISTA DA CUNHA,,,(74) 3617-9072,emmsbonfim@hotmail.com,(74) 99991-2855,,EMATA,NÃO,NENHUMA,ATIVO,SIM,NÃO,SALA PRÓPRIA,68.2009,,,,SIM,VELOX,SIM,7,17,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,17,25,1,12,,
,Liberado,29026148,48.920-000,ITAMOTINGA,MANIÇOBA,LAGOA DA PEDRA - MANIÇOBA,,,(74) 3613-9247,não possui,(74) 98826-1928,(74) 98834-7568,EMATM,SIM,OUTRO,ATIVO,SIM,NÃO,SALA PRÓPRIA,69.2008,,,,SIM,VELOX,SIM,7,17,,,INATIVO,SIM,SIM,,SIM,NÃO POSSUI,17,26,1,12,,
,Liberado,29341256,48.908-410,SEDE,ANTÔNIO GUILHERMINO,AVENIDA EVANGELISTA,,,,analiabarbosa.edu@gmail.com,(74) 99155-2384,,EMABS,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,NÃO,NENHUMA,SIM,2,10,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,10,27,1,12,,
,Liberado,29026482,48.910-000,JUNCO,GOIABEIRA II,GOIABEIRA II,,,(74) 3617-5050,valdetemsf@hotmail.com,(74) 98815-8634,(74) 99959-4902,EMAFO,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,68.2009,69.2008,,,NÃO,NENHUMA,SIM,10,10,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,10,28,1,12,,
,Liberado,29429536,48.901-090,SEDE,ARGEMIRO,RUA DO CRUZEIRO,15,PREDIO,(74) 3611-0018,ceajc1@hotmail.com,,,EMAJC,SIM,VELOX,ATIVO,SIM,NÃO,NÃO POSSUI,83.2008,,,,NÃO,NENHUMA,SIM,15,15,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,5,29,1,12,,
,Liberado,29026159,48.920-000,ITAMOTINGA,ITAMOTINGA,FAZENDA BARAÚNA,,,(74) 3618-7055,escola_bomjesusbarauna@hotmail.com,,,EMBJBI,NÃO,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,NENHUMA,SIM,1,5,,,INATIVO,SIM,NÃO,,NÃO,NÃO POSSUI,5,30,1,12,,
,Liberado,29025907,48.920-000,ITAMOTINGA,ITAMOTINGA,PROJETO CURAÇA - NHI,,,(74) 3617-2000,bomjesus_nh1@hotmail.com,,,EMBJNHI,SIM,RÁDIO,ATIVO,SIM,SIM,SALA PRÓPRIA,38.2006,69.2008,,,SIM,VELOX,SIM,7,15,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,15,31,1,12,,
,Liberado,29362415,48.909-810,SEDE,MALHADA DA AREIA,LOTEAMENTO MALHADA DA AREIA,,,(74) 3611-8041,escolacaicjua@gmail.com,(74) 98836-3773,,EMCAIC,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,NÃO,NENHUMA,SIM,2,10,,,ATIVO,NÃO,SIM,,NÃO,NÃO POSSUI,10,32,1,12,,
,Liberado,29024650,48.920-000,SEDE,AGROVALE,VILA CAXANGA AREA 5,,,(74) 3612-2900,escola_caxanga@hotmail.com,,,EMC,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,NÃO,,NÃO,0,27,,,INATIVO,NÃO,SIM,,SIM,NÃO POSSUI,0,33,1,12,,
,Liberado,29025346,48.900-991,ITAMOTINGA,PROJETO MANDACARU,RUA UM - PROJETO MANDACARU,,,(74) 3617-7211,empmandacaru@gmail.com,,,EMCCC,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,45.2007,69.2008,,SIM,RÁDIO,SIM,0,20,,,ATIVO,SIM,SIM,,SIM,16 PORTAS,0,34,1,12,,
,Liberado,29024668,48.907-100,SEDE,CASTELO BRANCO,TRAVESSA MACHADO DE ASSIS,,,(74) 3611-2744,escolacsu.jua@gmail.com,,,EMCSU,SIM,VELOX,ATIVO,SIM,SIM,SALA PRÓPRIA,83.2008,,,,SIM,VELOX,SIM,7,17,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,17,35,1,12,,
,Liberado,29025974,48.920-000,ITAMOTINGA,ITAMOTINGA,JUREMA VERMELHA - MANIÇOBA,,,,não possui,,,EMCJJV,SIM,OUTRO,ATIVO,SIM,NÃO,NÃO POSSUI,69.2008,,,,NÃO,NENHUMA,SIM,6,15,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,15,36,1,12,,
,Liberado,29026164,48.920-000,ITAMOTINGA,ITAMOTINGA,FAZENDA SERRA DA MADEIRA,,,,não possui,(74) 99635-7165,,EMCJSM,SIM,OUTRO,ATIVO,SIM,NÃO,SALA PRÓPRIA,69.2008,,,,SIM,OUTRO,SIM,1,5,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,5,37,1,12,,
,Liberado,29026890,48.915-000,JUREMAL,JUREMAL,RUA DA CUBA,,,(74) 3617-5001,escola_raimundocunhaleite@hotmail.com,,,EMDRCL,NÃO,NENHUMA,ATIVO,SIM,SIM,SALA PRÓPRIA,45.2007,,,,NÃO,NENHUMA,SIM,1,5,,,INATIVO,NÃO,NÃO,,NÃO,NÃO POSSUI,5,38,1,12,,
,Liberado,29378893,48.909-765,SEDE,DOM JOSÉ RODRIGUES,RUA F,,,,escoladjr@gmail.com,(74) 98811-0737,,EMDJR,SIM,NENHUMA,ATIVO,NÃO,NÃO,,,,,,NÃO,NENHUMA,SIM,12,12,,,ATIVO,SIM,SIM,,SIM,NÃO POSSUI,12,39,1,12,,
